Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
PISOS;ALL COVERING;AC10-001;Piso VALVI HOME -baseEva- caja2,170m2  xm2 Allcovering;;30732;37185,72;50200;1,633476507
PISOS;ALL COVERING;AC10-002;Piso VALVI GREEN -baseEva-Caja2,635m2  xm2 Allcovering;;30732;37185,72;50200;1,633476507
PISOS;ALL COVERING;AC10-003;Piso VALVI FLOOR -baseEva- Caja2,257m2  xm2 Allcovering;;35583;43055,43;58200;1,635612512
PISOS;ALL COVERING;AC10-005;Piso Allcovering SPC 6092-15X12 -Sin base- caja 2,675m2 xm2;;11214;13568,94;25900;2,309612984
PISOS;ALL COVERING;AC10-006;Piso Allcovering SPC XCV 180HC -baseEva- caja1,757m2 xm2;;16047;19416,87;36900;2,299495233
PISOS;ALL COVERING;AC10-007;Piso Allcovering SPC 180VE06 -baseEva- caja1,757m2 xm2;;16047;19416,87;36900;2,299495233
PISOS;ALL COVERING;AC10-008;Piso Allcovering SPC 1372 -baseCorcho- caja1,423m2 xm2;;16047;19416,87;36900;2,299495233
PISOS;ALL COVERING;AC10-011;Piso Allcovering SPC 7180-1 -baseEva- caja2,196m2 xm2;;17925;21689,25;41200;2,29846583
PISOS;ALL COVERING;AC10-013;Piso Allcovering SPC 7172-1 -baseEva- caja2,196m2 xm2;;17925;21689,25;41200;2,29846583
PISOS;ALL COVERING;AC10-016;Piso Allcovering SPC 7020-16A -baseEva- caja2,420m2 xm2;;17925;21689,25;41200;2,29846583
PISOS;ALL COVERING;AC10-020;Piso Vinilico BONUS 1.3mm ancho2mt xm2;;14170;17145,7;23200;1,637261821
PISOS;ALL COVERING;AC10-021;Piso Vinilico ENIRO 1.5mm ancho2mt xm2;;15860;19190,6;26100;1,645649433
PISOS;ALL COVERING;AC10-022;Piso Vinilico MAXIMA EKO 2.5mm ancho2mt xm2;;18343;22195,03;29900;1,63004961
PISOS;ALL COVERING;AC10-023;Piso Vinilico LUNA 2mm ancho2mt xm2;;19260;23304,6;31600;1,640706127
PISOS;ALL COVERING;AC10-024;Piso Vinilico GAMRAT 2mm ancho2mt xm2;;25500;30855;41600;1,631372549
ALFOMBRAS;ALL COVERING;AC10-025;ALFOMBRA Boucle RAMBO ancho 2 o 4mt xm2;;11972;14486,12;27600;2,305379218
ALFOMBRAS;ALL COVERING;AC10-026;ALFOMBRA Pelo CARESSE ancho 2mt xm2;;35220;42616,2;57600;1,635434412
CESPED;ALL COVERING;AC10-028;CESPED ASCOT - Grama GG7F 7mm ancho 2mt xm2;;8633;10445,93;14200;1,644851153
CESPED;ALL COVERING;AC10-029;CESPED GRAMA GG18N 18mm ancho2mt xm2;;12567;15206,07;20600;1,639213814
CESPED;ALL COVERING;AC10-030;CESPED GRAMA GG25C 25mm ancho2mt xm2;;15140;18319,4;24900;1,644649934
CESPED;ALL COVERING;AC10-031;CESPED GRAMA GG35C 35mm ancho2mt xm2;;23372;28280,12;38200;1,634434366
PAPELES;ALL COVERING;AC10-035;Papel TITANIUM 3  -Alemania- 10.05x53cm. all covering;;52412;63418,52;85600;1,633213768
PAPELES;ALL COVERING;AC10-037;Papel Metropolitan Stories -Alemania-10,05x53cm. all covering;;52412;63418,52;85600;1,633213768
PAPELES;ALL COVERING;AC10-038;Papel Metropolitan Stories 2 -Alemania- 10.05x53cm. all covering;;60013;72615,73;98000;1,632979521
PAPELES;ALL COVERING;AC10-039;Papel GEO NORDIC -Alemania- 10.05x53cm. all covering;;60013;72615,73;98000;1,632979521
PAPELES;ALL COVERING;AC10-040;Papel ELEMENTS -Alemania- 10.05X53cm. all covering;;50000;60500;81700;1,634
PAPELES;ALL COVERING;AC10-041;Papel CUBA -Alemania- 10.05x53cm. all covering;;55554;67220,34;91000;1,638045865
PAPELES;ALL COVERING;AC10-043;FotoMural The Wall 7 Paneles 371X280 all covering;;139971;169364,91;229000;1,636053182
PAPELES;ALL COVERING;AC10-044;FotoMural The Wall 3 Paneles 159x280 all covering;;63965;77397,65;104600;1,635269288
TELAS;ALHAMBRA;AL09-001;TELA ART 172 VOILE TURQUESA  3.00;;6572;7952,12;15490;2,356968959
TELAS;ALHAMBRA;AL09-002;TELA ART 215 VOILE LISO 3.00;;2926;3540,46;6920;2,365003418
TELAS;ALHAMBRA;AL09-003;TELA ART 226 GASA DE HILO 3.00;;6638;8031,98;15690;2,363663754
TELAS;ALHAMBRA;AL09-004;TELA ART 264 VOILE SUIZO 2.90;;7626;9227,46;17960;2,35510097
TELAS;ALHAMBRA;AL09-005;TELA ART 265 VOILE CRASH 2.70;;6292;7613,32;14860;2,36172918
TELAS;ALHAMBRA;AL09-006;TELA ART 268 ETAMINA RUSTICO FSIA 2.80;;9334;11294,14;22100;2,367688022
TELAS;ALHAMBRA;AL09-007;TELA ART 323 ETAMINA LISA 3.00;;6760;8179,6;15960;2,360946746
TELAS;ALHAMBRA;AL09-008;TELA ART 354 VOILE DE HILO 3.00;;7893;9550,53;18620;2,359052325
TELAS;ALHAMBRA;AL09-009;TELA ART 356 GRANITE 3.00;;8194;9914,74;19360;2,362704418
TELAS;ALHAMBRA;AL09-010;TELA ART 365 VOILE HILO CRASH 2.70;;9129;11046,09;21560;2,361704458
TELAS;ALHAMBRA;AL09-011;TELA ART 368 VOILE ESCOCES 3.00;;8194;9914,74;19360;2,362704418
TELAS;ALHAMBRA;AL09-012;TELA ART 372 VOILE RUSTICO 2.80;;8322;10069,62;19640;2,360009613
TELAS;ALHAMBRA;AL09-013;TELA ART 373 LORSON 3.00;;9256;11199,76;21860;2,361711322
TELAS;ALHAMBRA;AL09-014;TELA ART 375 VOILE NEVE 3.00;;5299;6411,79;12520;2,362709945
TELAS;ALHAMBRA;AL09-015;TELA ART 381 VOILE TRIPLE 3.00;;6904;8353,84;16290;2,359501738
TELAS;ALHAMBRA;AL09-016;TELA ART 587 ANDORRA 3.00;;7499;9073,79;17720;2,362981731
TELAS;ALHAMBRA;AL09-017;TELA ART 594 CREPPE VICTORIA 3.00;;6618;8007,78;15620;2,360229677
TELAS;ALHAMBRA;AL09-018;TELA ART 602 CANTABRIA 3.00;;7062;8545,02;16640;2,35627301
TELAS;ALHAMBRA;AL09-019;TELA ART 690 ATINA 3.00;;8197;9918,37;19400;2,366719532
TELAS;ALHAMBRA;AL09-020;TELA ART 760 LAISA SHANTUG  2.90;;8829;10683,09;20860;2,362668479
TELAS;ALHAMBRA;AL09-021;TELA ART 855 VOILE DE HILO 3.00;;6934;8390,14;16390;2,363715027
TELAS;ALHAMBRA;AL09-022;TELA ART 899 CLOTH  3.00;;12654;15311,34;29860;2,359728149
TELAS;ALHAMBRA;AL09-023;TELA ART 900 CLOTH PREMIUM 3.00;;18496;22380,16;43640;2,359429066
TELAS;ALHAMBRA;AL09-024;TELA ART 1032 LINO RUSTICO 3.00;;11322;13699,62;26720;2,360007066
TELAS;ALHAMBRA;AL09-025;TELA ART 1034 LORSON FSIA 3.00;;8770;10611,7;20690;2,359179019
TELAS;ALHAMBRA;AL09-026;TELA ART 1039 VOILE RUSTICO LINO 3.00;;8520;10309,2;20120;2,361502347
TELAS;ALHAMBRA;AL09-027;TELA ART 1040 VOILE LINO 3.00;;9534;11536,14;22520;2,362072582
TELAS;ALHAMBRA;AL09-028;TELA ART 1064 VOILE FSIA BARI 2.90;;8202;9924,42;19360;2,360399902
TELAS;ALHAMBRA;AL09-029;TELA ART 1068 STREGA 3.00;;8769;10610,49;20690;2,359448056
TELAS;ALHAMBRA;AL09-030;TELA ART 1280 BAMBULA DE 2.30;;5740;6945,4;13560;2,362369338
TELAS;ALHAMBRA;AL09-031;TELA ART 1282 BAMBULA  2.80;;7072;8557,12;16690;2,360011312
TELAS;ALHAMBRA;AL09-032;TELA ART 1286 ISADORA 2.80;;12187;14746,27;28760;2,359891688
TELAS;ALHAMBRA;AL09-033;TELA ART 1301 GASA PORTOBELLO 2.90;;8486;10268,06;20100;2,368607118
TELAS;ALHAMBRA;AL09-034;TELA ART 1319 OXFORD 2.80;;15972;19326,12;37690;2,35975457
TELAS;ALHAMBRA;AL09-035;TELA ART 1498 MOGA CRASH 2.70;;12566;15204,86;29640;2,358745822
TELAS;ALHAMBRA;AL09-036;TELA ART 1538 ALDINA 3.00;;8475;10254,75;19960;2,355162242
TELAS;ALHAMBRA;AL09-037;TELA ART 1577 YALA FANTASIA 3.00;;10093;12212,53;23860;2,364014664
TELAS;ALHAMBRA;AL09-038;TELA ART 1643 POMPOM 3.00;;9038;10935,98;21360;2,363354724
TELAS;ALHAMBRA;AL09-039;TELA ART 1670 LIMURI 3.00;;10242;12392,82;24190;2,36184339
TELAS;ALHAMBRA;AL09-040;TELA ART 1832 CASCAIS CON LINO 3.00;;12164;14718,44;28720;2,361065439
TELAS;ALHAMBRA;AL09-041;TELA ART 1880 GASA CON CHENIL 3.00;;7594;9188,74;17920;2,359757703
TELAS;ALHAMBRA;AL09-042;TELA ART 1950 TORINO 1.40;;8193;9913,53;19360;2,362992799
TELAS;ALHAMBRA;AL09-043;TELA ART 2085 MODENA 2.80;;34581;41843,01;81600;2,359677279
TELAS;ALHAMBRA;AL09-044;TELA ART 2090 ELVIS 2.90;;34691;41976,11;81860;2,359689833
TELAS;ALHAMBRA;AL09-045;TELA ART 2150 ETAMIN SHIREFF 3.00;;23200;28072;54760;2,360344828
TELAS;ALHAMBRA;AL09-046;TELA ART 2209 CRETONA PLUS 3.00;;8805;10654,05;20760;2,357751278
TELAS;ALHAMBRA;AL09-047;TELA ART 2707 CERDEÑA  2.80 de Alhambra;;34233;41421,93;81100;2,369059095
TELAS;ALHAMBRA;AL09-048;TELA ART 2977 JOY 3.00;;6459;7815,39;15260;2,362594829
TELAS;ALHAMBRA;AL09-049;TELA ART 2978   TIGER   3.00;;5344;6466,24;12620;2,361526946
TELAS;ALHAMBRA;AL09-050;TELA ART 3177  NOIA 2.80;;5832;7056,72;13760;2,359396433
TELAS;ALHAMBRA;AL09-051;TELA ART 3323 VOILE LISO COLOR 3.00;;3644;4409,24;8620;2,365532382
TELAS;ALHAMBRA;AL09-052;TELA ART 4299 TRIPLE DORADO 3.00;;6691;8096,11;15760;2,35540278
