Familia;Proveedor;Codigo;Descripcion;Costo;Precio;Nuevo Precio;Coef ARS;Costo USD
PISOS;ALL COVERING;AC10-001;Piso VALVI HOME -baseEva- caja2,170m2  xm2 Allcovering;29323,45;$ 50.200;$ 55.700;1,711940444;29,77
PISOS;ALL COVERING;AC10-002;Piso VALVI GREEN -baseEva-Caja2,635m2  xm2 Allcovering;29323,45;$ 50.200;$ 55.700;1,711940444;29,77
PISOS;ALL COVERING;AC10-003;Piso VALVI FLOOR -baseEva- Caja2,257m2  xm2 Allcovering;32357,25;$ 58.200;$ 61.500;1,798669541;32,85
PISOS;ALL COVERING;AC10-005;Piso Allcovering SPC 6092-15X12 -Sin base- caja 2,675m2 xm2;0;$ 25.900;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-006;Piso Allcovering SPC XCV 180HC -baseEva- caja1,757m2 xm2;0;$ 36.900;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-007;Piso Allcovering SPC 180VE06 -baseEva- caja1,757m2 xm2;0;$ 36.900;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-008;Piso Allcovering SPC 1372 -baseCorcho- caja1,423m2 xm2;0;$ 36.900;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-011;Piso Allcovering SPC 7180-1 -baseEva- caja2,196m2 xm2;0;$ 41.200;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-013;Piso Allcovering SPC 7172-1 -baseEva- caja2,196m2 xm2;0;$ 41.200;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-016;Piso Allcovering SPC 7020-16A -baseEva- caja2,420m2 xm2;0;$ 41.200;$ 0;#¡DIV/0!;0
PISOS;ALL COVERING;AC10-020;Piso Vinilico BONUS 1.3mm ancho2mt xm2;10598,6;$ 23.200;$ 20.100;2,188968354;10,76
PISOS;ALL COVERING;AC10-021;Piso Vinilico ENIRO 1.5mm ancho2mt xm2;11859,4;$ 26.100;$ 22.500;2,200785874;12,04
PISOS;ALL COVERING;AC10-022;Piso Vinilico MAXIMA EKO 2.5mm ancho2mt xm2;13721,05;$ 29.900;$ 26.100;2,179133521;13,93
PISOS;ALL COVERING;AC10-023;Piso Vinilico LUNA 2mm ancho2mt xm2;13504,35;$ 31.600;$ 25.700;2,339986745;13,71
PISOS;ALL COVERING;AC10-024;Piso Vinilico GAMRAT 2mm ancho2mt xm2;19069,6;$ 41.600;$ 36.200;2,181482569;19,36
ALFOMBRAS;ALL COVERING;AC10-025;ALFOMBRA Boucle RAMBO ancho 2 o 4mt xm2;12263,25;$ 27.600;$ 23.300;2,250626873;12,45
ALFOMBRAS;ALL COVERING;AC10-026;ALFOMBRA Pelo CARESSE ancho 2mt xm2;38976,45;$ 57.600;$ 74.100;1,47781545;39,57
CESPED;ALL COVERING;AC10-028;CESPED ASCOT - Grama GG7F 7mm ancho 2mt xm2;9544,65;$ 14.200;$ 18.100;1,487744443;9,69
CESPED;ALL COVERING;AC10-029;CESPED GRAMA GG18N 18mm ancho2mt xm2;13908,2;$ 20.600;$ 26.400;1,481140622;14,12
CESPED;ALL COVERING;AC10-030;CESPED GRAMA GG25C 25mm ancho2mt xm2;16754,85;$ 24.900;$ 31.800;1,48613685;17,01
